KeyCategory,Command,KeyCode,KeyCode2,KeyString
1,TableMergeCells,593,0,"Ctrl+Q"
1,TextToTable,596,0,"Ctrl+T"
1,InsertEmSpace,619,0,"Ctrl+Num +"
1,BorderLineStyle,834,0,"Ctrl+Shift+B"
1,CopyFormat,835,0,"Ctrl+Shift+C"
1,FormatParagraph,836,0,"Ctrl+Shift+D"
1,FontColorPicker,838,0,"Ctrl+Shift+F"
1,TableProperties,852,0,"Ctrl+Shift+T"
1,PasteFormat,854,0,"Ctrl+Shift+V"
1,InsertEnSpace,875,0,"Ctrl+Shift+Num +"
1,TableSplitCells,1107,0,"Alt+S"
1,TableSplit,1112,0,"Alt+X"
1,EditPasteSpecial,1622,0,"Alt+Ctrl+V"
1,DecreaseIndent,1829,0,"Alt+Ctrl+Shift+Left"
1,IncreaseIndent,1831,0,"Alt+Ctrl+Shift+Right"
2,Normal.MergeFileTool.UltimateExactMerge,589,0,"Ctrl+M"
2,Normal.setcolumnlevels.reset_space,608,0,"Ctrl+Num 0"
2,Normal.ReFLinkBookmark.AllInsertBookmarks_ToSelection,611,0,"Ctrl+Num 3"
2,Normal.modREY_Bookmarks.InsertBookmark_CurrentParagraph,622,0,"Ctrl+Num ."
2,Normal.PasteOptionSelector.PasteOptionSelector,848,0,"Ctrl+Shift+P"
2,Normal.Replace_images.ReplaceSelectedPicture_SessionFolder,856,0,"Ctrl+Shift+X"
2,Normal.Module3.DecrementLeading,1062,0,"Alt+Up"
2,Normal.Module3.IncrementLeading,1064,0,"Alt+Down"
2,Normal.Module3.InsertAndFormatPicture,1089,0,"Alt+A"
2,Normal.Module3.ShowCleanupTool,1091,0,"Alt+C"
2,Normal.modHideUnhide.ShowHideUnhideGUI,1092,0,"Alt+D"
2,Normal.Module1.ShowPlaceholderPicker,1345,0,"Alt+Shift+A"
2,Normal.Module1.ShowPlaceholderPicker1,1363,0,"Alt+Shift+S"
2,Normal.setcolumnlevels.after_space_DOWN,1573,0,"Alt+Ctrl+Left"
2,Normal.setcolumnlevels.before_space_up,1574,0,"Alt+Ctrl+Up"
2,Normal.setcolumnlevels.after_space_UP,1575,0,"Alt+Ctrl+Right"
2,Normal.setcolumnlevels.before_space_DOWN,1576,0,"Alt+Ctrl+Down"
2,Normal.GroupSelectedTextboxes.GroupTextboxesInSelectedParagraph,1607,0,"Alt+Ctrl+G"
2,Normal.KeyboardshortcutsExToImp.KeyboardShortcutsMenu,1624,0,"Alt+Ctrl+X"
2,Normal.TextboxCleaner.CleanSelectedTextboxes,1757,0,"Alt+Ctrl+]"
2,Normal.indent.RightIndentIncrease,1830,0,"Alt+Ctrl+Shift+Up"
2,Normal.indent.RightIndentDecrease,1832,0,"Alt+Ctrl+Shift+Down"
